plot_ID,SITE,line,genotype,location,lib_ID,BIOMASS,TC,AREA,SLA,FRESH,DRY,RWC,OP,MDWP,Group,Population
B1320,BFL,BEX.14.G1,BEX14,CenTex,PD10-25,204.89,487,8.76,199.5444191,0.1359,0.0439,90.10773751,410,14.5,CenTex_BFL,HAL_I
B1321,BFL,PDL.4.G1,PDL4,West,PD20-6,123.39,367,10.75,239.9553571,0.1329,0.0448,78.66071429,329,19.5,West_BFL,HAL_I
B1323,BFL,POI.3.G4,POI3,Sym,PD20-8,369.49,889,7.37,216.7647059,0.0959,0.034,89.58031838,484,17,Sym_BFL,HAL_II
B1324,BFL,CAM.1.G1,CAM1,Filipes,PD10-26,838,508,24.03,203.2994924,0.3862,0.1182,92.63740062,411,12.5,Filipes_BFL,FIL
B1325,BFL,HDS.1.G1,HDS1,CenTex,PD20-9,69.19,215,9.43,239.9491094,0.1155,0.0393,84.2920354,405,14.5,CenTex_BFL,HAL_I
B1326,BFL,UVL.1A.G3,UVL1A,Sym,PD4-26,243.4,462,9.53,269.9716714,0.1266,0.0353,90.48562934,368,12.5,Sym_BFL,HAL_II
B1327,BFL,BOS.3.G1,BOS3,West,PD10-27,207.5,510,12.35,203.7953795,0.1832,0.0606,89.16363636,472,12.5,West_BFL,HAL_I
B1328,BFL,SVN.3.G2,SVN3,West,PD9-28,216.2,421,12.91,198.006135,0.1878,0.0652,85.91450596,482,16,West_BFL,HAL_I
B1329,BFL,ELG.56.G2,ELG56,West,PD6-28,102.39,419,8.41,220.7349081,0.1039,0.0381,75.2,550,17,West_BFL,HAL_I
B1330,BFL,SMT.1.G2,SMT1,TexMex,PD20-11,150.89,741,5.2,192.5925926,0.0784,0.027,85.66666667,481,12.5,TexMex_BFL,HAL_II
B1331,BFL,COR.18.G2,COR18,TexMex,PD20-12,70.09,299,6.97,202.0289855,0.1011,0.0345,82.63027295,433,15.5,TexMex_BFL,HAL_II
B1332,BFL,CBS.6.G1,CBS6,CenTex,PD4-28,131.39,563,9.44,228.0193237,0.1308,0.0414,85.87896254,437,14.5,CenTex_BFL,HAL_I
B1333,BFL,RAN.5.G1,RAN5,West,PD20-13,150.99,356,11.21,213.1178707,0.1732,0.0526,89.73214286,379,13,West_BFL,HAL_I
B1334,BFL,ARR.1A.G2,ARR1A,West,PD10-28,187.19,578,11.83,194.892916,0.1811,0.0607,90.25487256,422,14.5,West_BFL,HAL_I
B1335,BFL,CCO.2.F,CCO2,West,PD10-29,80.19,312,8.71,222.1938776,0.1232,0.0392,91.60305344,396,13.5,West_BFL,HAL_I
B1336,BFL,MKF.1.G1,MKF1,CenTex,PD20-14,176,491,8.62,204.7505938,0.1151,0.0421,88.16425121,482,14,CenTex_BFL,HAL_I
B1337,BFL,DOF.11.G1,DOF11,TexMex,PD20-15,153.29,422,6.33,226.0714286,0.0843,0.028,88.24451411,410,15.5,TexMex_BFL,HAL_II
B1338,BFL,COR.18.G2,COR18,TexMex,PD20-16,45.29,238,7.53,226.1261261,0.0982,0.0333,87.11409396,521,12.5,TexMex_BFL,HAL_II
B1341,BFL,BME.2.G1,BME2,West,PD7-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,West_BFL,HAL_I
B1401,BFL,LOS.2.G1,LOS2,West,PD20-19,29.59,109,8.82,252.722063,0.1292,0.0349,91.64237123,399,15,West_BFL,HAL_I
B1402,BFL,ARB.1.G2,ARB1,CenTex,PD1-22,48.89,202,7.93,212.0320856,0.1152,0.0374,96.52605459,441,9,CenTex_BFL,HAL_I
B1403,BFL,SMF.BK.F,SMFBK,CenTex,PD20-20,43.59,143,7.23,209.5652174,0.1042,0.0345,92.4403183,426,10,CenTex_BFL,HAL_I
B1404,BFL,ARA.1.G1,ARA1,Filipes,PD10-30,166.1,172,14.75,193.3158585,0.14242,0.0763,41.92771084,462,14,Filipes_BFL,FIL
B1405,BFL,EPS.1C.G1,EPS1C,Filipes,PD20-21,82.29,150,8.75,237.7717391,0.1208,0.0368,95.67198178,413,11.5,Filipes_BFL,FIL
B1406,BFL,BBF.5.G1,BBF5,TexMex,PD1-26,37.99,134,6.08,222.7106227,0.0882,0.0273,95.90551181,493,13.5,TexMex_BFL,HAL_II
B1407,BFL,KNT.14A.G2,KNT14A,West,PD20-22,62.79,120,8.76,253.1791908,0.1268,0.0346,95.24793388,428,13,West_BFL,HAL_I
B1408,BFL,BBD.5.G1,BBD5,TexMex,PD14-1,76.09,173,4.18,205.91133,0.0532,0.0203,87.5,375,10.5,TexMex_BFL,HAL_II
B1409,BFL,LOS.2.G1,LOS2,West,PD20-23,39.69,141,6.62,262.6984127,0.0558,0.0252,43.40425532,474,13.5,West_BFL,HAL_I
B1410,BFL,STW.12.G1,STW12,CenTex,PD20-24,56.19,252,4.69,266.4772727,0.0885,0.0176,NA,473,8.5,CenTex_BFL,HAL_I
B1411,BFL,SPR.30.G3,SPR30,West,PD20-25,22.09,53,8.63,215.2119701,0.1306,0.0401,97.41657696,493,10,West_BFL,HAL_I
B1412,BFL,BME.2.G1,BME2,West,PD7-25,73.49,191,6.97,240.3448276,0.097,0.029,92.39130435,431,7.5,West_BFL,HAL_I
B1413,BFL,ALI.4.G1,ALI4,West,PD14-2,45.29,167,5.81,235.2226721,0.0786,0.0247,93.73913043,446,14,West_BFL,HAL_I
B1414,BFL,LBY.3.G2,LBY3,West,PD8-27,70.39,165,9.74,237.5609756,0.1533,0.041,96.06501283,458,10.5,West_BFL,HAL_I
B1416,BFL,ARB.1.G2,ARB1,CenTex,PD1-23,175.89,292,8.03,223.6768802,0.1098,0.0359,93.19041614,455,11.5,CenTex_BFL,HAL_I
B1417,BFL,PRT.4.G1,PRT4,West,PD7-22,132.49,223,8.46,264.375,0.1293,0.032,96.62363456,417,9.5,West_BFL,HAL_I
B1418,BFL,GEO.1A.G1,GEO1A,West,PD6-26,NA,31,9.33,237.4045802,0.1284,0.0393,95.29411765,428,11.5,West_BFL,HAL_I
B1420,BFL,PDF.1.G1,PDF1,West,PD2-25,55.19,232,8.71,206.888361,0.1186,0.0421,93.63525092,435,8,West_BFL,HAL_I
B1421,BFL,PCR.61.G1,PCR61,West,PD9-23,NA,17,4.66,164.084507,0.072,0.0284,96.46017699,484,14,West_BFL,HAL_I
B1422,BFL,CLA.1A.G1,CLA1A,West,PD14-3,NA,34,4.15,200.4830918,0.057,0.0207,87.46987952,866,13.5,West_BFL,HAL_I
B1423,BFL,LMA.4.G2,LMA4,CenTex,PD20-26,52.19,345,7.61,245.483871,0.1021,0.031,97.79917469,36,11.5,CenTex_BFL,HAL_I
B1424,BFL,PIS.2.G2,PIS2,Sym,PD20-27,198.29,721,9.19,211.7511521,0.1278,0.0434,86.21041879,426,12,Sym_BFL,HAL_II
B1425,BFL,ELG.50.G2,ELG50,West,PD6-23,NA,85,10.75,196.5265082,0.1371,0.0547,89.76034858,466,15,West_BFL,HAL_I
B1426,BFL,ZAP.1.G1,ZAP1,Filipes,PD20-28,155.19,208,12.28,213.5652174,0.1748,0.0575,89.26940639,376,14.5,Coastal_BFL,FIL
B1427,BFL,STW.12.G1,STW12,CenTex,PD20-29,139.49,422,5.87,221.509434,0.0845,0.0265,92.3566879,468,9.5,CenTex_BFL,HAL_I
B1428,BFL,BME.2.G1,BME2,West,PD7-26,76.09,214,7.67,216.056338,0.1098,0.0355,87.20657277,445,9.5,West_BFL,HAL_I
B1429,BFL,HAL.2.G1,HAL2,CenTex,PD5-30,71.59,417,7.38,205,0.1117,0.036,91.86893204,463,14.5,CenTex_BFL,HAL_I
B1430,BFL,CLD.3.G1,CLD3,West,PD14-4,138.39,390,10.66,205.3949904,0.1675,0.0519,90.59561129,450,12,West_BFL,HAL_I
B1431,BFL,GNH.10.G2,GNH10,Sym,PD2-22,282.3,460,7.34,215.2492669,0.0977,0.0341,92.84671533,455,12,Sym_BFL,HAL_II
B1432,BFL,CNF.2.G1,CNF2,West,PD14-5,195.8,237,13.21,193.4114202,0.198,0.0683,90.5094208,469,11.5,West_BFL,HAL_I
B1433,BFL,PAB.1.F,PAB1,Filipes,PD20-30,197.9,267,11.89,200.8445946,0.1642,0.0592,87.13692946,366,12.5,Coastal_BFL,FIL
B1434,BFL,PDF.1.G1,PDF1,West,PD2-26,104.49,286,10.65,211.3095238,0.163,0.0504,91.17408907,380,13,West_BFL,HAL_I
B1435,BFL,LME.5.G1,LME5,West,PD9-22,48.09,199,7.8,178.4897025,0.1153,0.0437,96.75675676,475,11.5,West_BFL,HAL_I
B1436,BFL,MCR.19.G2,MCR19,West,PD24-7,119.4,186,9.23,217.1764706,0.1272,0.0425,90.97744361,466,13.5,West_BFL,HAL_I
B1437,BFL,CRS.3.G1,CRS3,West,PD24-8,34.49,133,7.52,227.8787879,0.968,0.033,NA,344,7.5,West_BFL,HAL_I
B1439,BFL,BUS.3.G1,BUS3,West,PD14-6,21.19,140,5.88,243.9834025,0.852,0.0241,NA,405,14.5,West_BFL,HAL_I
B1440,BFL,CLA.1A.G1,CLA1A,West,PD14-7,NA,29,2.38,222.4299065,0.0326,0.0107,91.63179916,410,9.5,West_BFL,HAL_I
B1441,BFL,BEL.3.G1,BEL3,CenTex,PD14-8,47.59,240,3.82,276.8115942,0.0482,0.0138,88.20512821,472,7,CenTex_BFL,HAL_I
B1501,BFL,CAM.1.G1,CAM1,Filipes,PD14-9,115.4,189,11.36,202.8571429,0.1594,0.056,91.26213592,428,11,Filipes_BFL,FIL
B1502,BFL,HAL.2.G1,HAL2,CenTex,PD21-1,36.09,134,6.11,225.4612546,0.0861,0.0271,92.04368175,349,10.5,CenTex_BFL,HAL_I
